hub_index,hub_name,hub_slug,hub_model,keyword_count,total_cluster_volume,representative_keyword,rep_volume,top_keywords,primary_content_type,supporting_content_opportunities,serp_intent,dominant_ranking_format,top_competitors,recommended_opportunity,source_urls,hub_brief_file,hub_competitor_research_file,hub_outline_file,research_status
1,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,Patient + surgeon hybrid hub,32,"14,351",anterior hip replacement,"4,400","anterior hip replacement (4400), anterior hip replacement surgery (2900), hemiarthroplasty hip (1900), anterior approach hip replacement (1300), bipolar hemiarthroplasty (480)",Service/procedure hub,Approach comparison; candidacy; recovery timeline; risks,Commercial + informational,Hospital/service pages and patient education,HSS | Yale Medicine | private ortho clinics,"Develop a conversion-ready hub comparing anterior vs posterior approaches, candidacy, recovery, and surgeon FAQs.","https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach
https://www.nhs.uk/tests-and-treatments/hip-replacement/how-a-hip-replacement-is-done/",research\hub_briefs\001-hip-arthroplasty-and-approaches.md,research\hub_competitor_sheets\001-hip-arthroplasty-and-approaches.md,research\hub_outlines\001-hip-arthroplasty-and-approaches.md,not_started
2,Robotic joint replacement,robotic-joint-replacement,Commercial-intent hub,18,"10,820",robotic knee replacement,"3,600","robotic knee replacement (3600), robotic knee replacement surgery (2400), robotic knee surgery (1900), robotic assisted knee replacement surgery (1000), robotic total knee replacement (390)",Service/procedure hub,Robotic vs traditional; benefits; systems; recovery,Commercial + informational,Provider/service pages and branded technology pages,Stryker/Mako | Spire/Circle hospital pages | surgeon articles,"Strong money page opportunity: explain systems, benefits vs conventional TKA, costs, recovery, and candidacy.","https://patients.stryker.co.uk/knee-replacement/procedures/mako-robotic-arm-assisted-total-knee
https://www.spirehealthcare.com/spire-bushey-hospital/treatments/robotic-knee-replacement/
https://www.circlehealthgroup.co.uk/treatments/velys-robotic-assisted-knee-surgery",research\hub_briefs\002-robotic-joint-replacement.md,research\hub_competitor_sheets\002-robotic-joint-replacement.md,research\hub_outlines\002-robotic-joint-replacement.md,not_started
3,Fracture classifications,fracture-classifications,Reference hub,36,"7,610",gustilo anderson classification,"1,000","gustilo anderson classification (1000), gustilo classification (720), weber classification (720), garden classification (480), gartland classification (390)",Reference/pillar page,Classification tables; imaging examples; treatment implications,Reference/educational,Reference tables and ortho education pages,Orthobullets | Radiopaedia-style refs | textbook/education sites,"Own the SERP with a fast-loading classification table, wound-size cues, antibiotic guidance, and downloadable cheat sheet.",https://www.orthobullets.com/trauma/1003/gustilo-classification,research\hub_briefs\003-fracture-classifications.md,research\hub_competitor_sheets\003-fracture-classifications.md,research\hub_outlines\003-fracture-classifications.md,not_started
4,Orthopedic trauma,orthopedic-trauma,Trauma surgery hub,25,"5,620",compartment syndrome surgery,"1,600","compartment syndrome surgery (1600), tibial plateau fracture surgery (480), holstein lewis fracture (320), reduce fracture (320), reduction of a fracture (320)",Procedure hub,Emergency indications; fasciotomy timing; fixation decision trees,Urgent care + procedural,Hospital explainers and recovery pages,NHS | physio/rehab sites | patient guides,"Produce a medically reviewed fasciotomy page centered on urgency, symptoms, what surgery does, and post-op expectations.","https://www.guysandstthomas.nhs.uk/health-information/fasciotomy-surgery-compartment-syndrome
https://www.nhs.uk/conditions/compartment-syndrome/",research\hub_briefs\004-orthopedic-trauma.md,research\hub_competitor_sheets\004-orthopedic-trauma.md,research\hub_outlines\004-orthopedic-trauma.md,not_started
5,Knee injections and aspiration,knee-injections-and-aspiration,High-volume procedure hub,24,"5,000",knee aspiration,"1,600","knee aspiration (1600), knee arthrocentesis (1000), knee joint tap (260), arthrocentesis aspiration (210), intra articular injection of knee (170)",Procedure page,Arthrocentesis indications; fluid analysis; aspiration vs injection,Procedural/educational,"OSCE guides, manuals, and clinical references",Geeky Medics | MSD Manuals | Cleveland Clinic,"Cluster this with arthrocentesis terms and add effusion workup, lab interpretation, and injection crossover content.","https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration",research\hub_briefs\005-knee-injections-and-aspiration.md,research\hub_competitor_sheets\005-knee-injections-and-aspiration.md,research\hub_outlines\005-knee-injections-and-aspiration.md,not_started
6,General orthopedic procedures,general-orthopedic-procedures,Mixed fundamentals hub,30,"4,330",knee joint aspiration,"1,300","knee joint aspiration (1300), distal radial metaphysis (480), anatomical neck of femur (260), anterior approach (210), blood supply scaphoid (210)",Pillar page,Procedure basics; anatomy refreshers; indications/contraindications,Procedural/educational,"OSCE guides, manuals, and clinical guides",Geeky Medics | MSD Manuals | AAFP,"Win with a dual-audience page: clinician procedure steps plus patient-facing indications, risks, and sample interpretation.","https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://www.aafp.org/pubs/afp/issues/2002/1015/p1497.html",research\hub_briefs\006-general-orthopedic-procedures.md,research\hub_competitor_sheets\006-general-orthopedic-procedures.md,research\hub_outlines\006-general-orthopedic-procedures.md,not_started
7,Access lines and vascular access,access-lines-and-vascular-access,Procedural guide hub,7,"3,770",intraosseous access,"2,900","intraosseous access (2900), axillary arterial line (260), brachial arterial line (170), axillary artery arterial line (140), brachial artery arterial line (140)",Definitive guide + technique page,IO access indications; landmarks; complications; device comparison,Informational/procedural,Step-by-step guides and device explainers,Geeky Medics | Osmosis | medical/device publishers,"Target emergency-use cases, insertion sites, contraindications, and a device-comparison module.","https://geekymedics.com/intraosseous-access-osce-guide/
https://www.osmosis.org/answers/intraosseous-device",research\hub_briefs\007-access-lines-and-vascular-access.md,research\hub_competitor_sheets\007-access-lines-and-vascular-access.md,research\hub_outlines\007-access-lines-and-vascular-access.md,not_started
8,Orthopedic anatomy,orthopedic-anatomy,Foundational anatomy hub,13,"3,360",plafond of tibia,480,"plafond of tibia (480), scaphoid avn (390), scaphoid blood supply (390), avascular necrosis of scaphoid (320), avn of scaphoid (320)",Educational guide,Blood supply; fracture relevance; anatomy visuals,Educational/reference,Definition pages and fracture explainers,Orthobullets | Cleveland Clinic | TeachMeSurgery,"Bridge anatomy and trauma intent with a page that explains plafond vs pilon, anatomy, imaging, and clinical relevance.","https://www.orthobullets.com/trauma/1046/tibial-plafond-fractures
https://my.clevelandclinic.org/health/diseases/21831-pilon-fractures
https://teachmesurgery.com/orthopaedic/ankle-and-foot/tibial-pilon-fracture/",research\hub_briefs\008-orthopedic-anatomy.md,research\hub_competitor_sheets\008-orthopedic-anatomy.md,research\hub_outlines\008-orthopedic-anatomy.md,not_started
9,Sterility and surgical setup,sterility-and-surgical-setup,OR fundamentals hub,5,"2,690",surgical asepsis,"2,400","surgical asepsis (2400), surgical asepsis techniques (110), aseptic and sterile technique (70), sterile field in operating room (70), sterile technique operating room (40)",Educational guide,Sterile field setup; rules; breaches; checklists,Educational,Nursing/clinical education pages,Cleveland Clinic | LibreTexts | AFPP standards,"Own beginner-to-intermediate intent with definitions, rules of sterile technique, common breaks, and OR checklist assets.","https://my.clevelandclinic.org/health/treatments/aseptic-technique
https://med.libretexts.org/Bookshelves/Nursing/Clinical_Procedures_for_Safer_Patient_Care_%28Doyle_and_McCutcheon%29/01%3A_Infection_Control/1.05%3A_Surgical_Asepsis_and_the_Principles_of_Sterile_Technique
https://www.afpp.org.uk/wp-content/uploads/Standards-Collection-Aseptic-Technique.pdf",research\hub_briefs\009-sterility-and-surgical-setup.md,research\hub_competitor_sheets\009-sterility-and-surgical-setup.md,research\hub_outlines\009-sterility-and-surgical-setup.md,not_started
10,Orthopedic education content,orthopedic-education-content,TOFU education hub,7,"1,650",orthopaedic procedures,"1,300","orthopaedic procedures (1300), ortho notes (110), surgical model (90), orthopedic notes (70), common orthopedic surgeries (40)",Pillar page,Common procedures; ortho notes; surgery atlas/overview,Broad informational,Directory/listicle and reference pages,BOA guideline hubs | OrthoInfo/AAOS-style education | procedure atlases,"This is a pillar opportunity: map major procedures by body region, indication, and recovery with internal links to deep pages.","https://www.boa.ac.uk/standards-guidance/guidance/nice-trauma-and-orthopaedic-guidelines.html
https://www.orthoracle.com/
https://orthotoc.com/common-orthopedic-surgeries/",research\hub_briefs\010-orthopedic-education-content.md,research\hub_competitor_sheets\010-orthopedic-education-content.md,research\hub_outlines\010-orthopedic-education-content.md,not_started
