article_index,title,slug,issue_type,severity,location,details,needs_web_review
1,"Anterior Hip Replacement: Comparison, Candidacy, Recovery, and Key Questions",hip-arthroplasty-and-approaches,no_issues_found,info,article,No automated QA issues detected.,optional
2,Hip Arthroplasty and Approaches: Approach comparison,hip-arthroplasty-and-approaches-approach-comparison,no_issues_found,info,article,No automated QA issues detected.,optional
3,Who Is a Good Candidate for Hip Arthroplasty and Approaches?,hip-arthroplasty-and-approaches-candidacy,no_issues_found,info,article,No automated QA issues detected.,optional
4,Hip Arthroplasty and Approaches: Recovery timeline,hip-arthroplasty-and-approaches-recovery-timeline,no_issues_found,info,article,No automated QA issues detected.,optional
5,Risks and Complications for Hip Arthroplasty and Approaches,hip-arthroplasty-and-approaches-risks,no_issues_found,info,article,No automated QA issues detected.,optional
6,"Robotic Knee Replacement: What It Is, Who It Helps, and What to Expect",robotic-joint-replacement,no_issues_found,info,article,No automated QA issues detected.,optional
7,Robotic Joint Replacement: Robotic vs traditional,robotic-joint-replacement-robotic-vs-traditional,no_issues_found,info,article,No automated QA issues detected.,optional
8,Benefits of Robotic Joint Replacement,robotic-joint-replacement-benefits,no_issues_found,info,article,No automated QA issues detected.,optional
9,Robotic Joint Replacement: Systems,robotic-joint-replacement-systems,no_issues_found,info,article,No automated QA issues detected.,optional
10,Robotic Joint Replacement: Recovery,robotic-joint-replacement-recovery,no_issues_found,info,article,No automated QA issues detected.,optional
11,"Gustilo Anderson Classification: Key Concepts, Tables, and Practical Interpretation",fracture-classifications,no_issues_found,info,article,No automated QA issues detected.,optional
12,Fracture Classifications: Classification tables,fracture-classifications-classification-tables,no_issues_found,info,article,No automated QA issues detected.,optional
13,Fracture Classifications: Imaging examples,fracture-classifications-imaging-examples,no_issues_found,info,article,No automated QA issues detected.,optional
14,Fracture Classifications: Treatment implications,fracture-classifications-treatment-implications,no_issues_found,info,article,No automated QA issues detected.,optional
15,"Compartment Syndrome Surgery: What It Is, Who It Helps, and What to Expect",orthopedic-trauma,no_issues_found,info,article,No automated QA issues detected.,optional
16,Orthopedic Trauma: Emergency indications,orthopedic-trauma-emergency-indications,no_issues_found,info,article,No automated QA issues detected.,optional
17,Orthopedic Trauma: Fasciotomy timing,orthopedic-trauma-fasciotomy-timing,no_issues_found,info,article,No automated QA issues detected.,optional
18,Orthopedic Trauma: Fixation decision trees,orthopedic-trauma-fixation-decision-trees,no_issues_found,info,article,No automated QA issues detected.,optional
19,"Knee Aspiration: What It Is, Who It Helps, and What to Expect",knee-injections-and-aspiration,no_issues_found,info,article,No automated QA issues detected.,optional
20,Knee Injections and Aspiration: Arthrocentesis indications,knee-injections-and-aspiration-arthrocentesis-indications,no_issues_found,info,article,No automated QA issues detected.,optional
21,Knee Injections and Aspiration: Fluid analysis,knee-injections-and-aspiration-fluid-analysis,no_issues_found,info,article,No automated QA issues detected.,optional
22,Knee Injections and Aspiration: Aspiration vs injection,knee-injections-and-aspiration-aspiration-vs-injection,no_issues_found,info,article,No automated QA issues detected.,optional
23,"Knee Joint Aspiration: What It Is, Who It Helps, and What to Expect",general-orthopedic-procedures,no_issues_found,info,article,No automated QA issues detected.,optional
24,General Orthopedic Procedures: Procedure basics,general-orthopedic-procedures-procedure-basics,no_issues_found,info,article,No automated QA issues detected.,optional
25,General Orthopedic Procedures: Anatomy refreshers,general-orthopedic-procedures-anatomy-refreshers,no_issues_found,info,article,No automated QA issues detected.,optional
26,General Orthopedic Procedures: Indications/contraindications,general-orthopedic-procedures-indications-contraindications,no_issues_found,info,article,No automated QA issues detected.,optional
27,"Intraosseous Access: Comparison, Candidacy, Recovery, and Key Questions",access-lines-and-vascular-access,no_issues_found,info,article,No automated QA issues detected.,optional
28,Access Lines and Vascular Access: IO access indications,access-lines-and-vascular-access-io-access-indications,no_issues_found,info,article,No automated QA issues detected.,optional
29,Access Lines and Vascular Access: Landmarks,access-lines-and-vascular-access-landmarks,no_issues_found,info,article,No automated QA issues detected.,optional
30,Risks and Complications for Access Lines and Vascular Access,access-lines-and-vascular-access-complications,no_issues_found,info,article,No automated QA issues detected.,optional
31,Access Lines and Vascular Access: device comparison,access-lines-and-vascular-access-device-comparison,no_issues_found,info,article,No automated QA issues detected.,optional
32,"Plafond of Tibia: What It Is, Who It Helps, and What to Expect",orthopedic-anatomy,no_issues_found,info,article,No automated QA issues detected.,optional
33,Orthopedic Anatomy: Blood supply,orthopedic-anatomy-blood-supply,no_issues_found,info,article,No automated QA issues detected.,optional
