article_index,title,slug,category,primary_keyword,secondary_keywords,source_url,competitor_research_file,competitor_urls,research_status,brief_file,outline_file,notes
1,Wrist trauma: X-ray interpretation,wrist-trauma-x-ray-interpretation,"Radiology, Trauma, Hand Surgery",wrist trauma x ray interpretation,wrist x ray interpretation orthopedic; how to read wrist trauma x ray; distal radius x ray interpretation; wrist fracture radiograph interpretation; wrist trauma imaging approach,https://web.osgenic.com/pages/743,research/competitor_sheets/001-wrist-trauma-x-ray-interpretation.md,,not_started,research\briefs\001-wrist-trauma-x-ray-interpretation.md,research\outlines\001-wrist-trauma-x-ray-interpretation.md,
2,Wrist joint injection (radiocarpal joint),wrist-joint-injection-radiocarpal-joint,"Rheumatology, Hand Surgery",radiocarpal joint injection technique,wrist joint injection procedure; wrist injection landmarks orthopedic; radiocarpal injection step by step; wrist corticosteroid injection technique; wrist joint injection approach,https://web.osgenic.com/pages/632,research/competitor_sheets/002-wrist-joint-injection-radiocarpal-joint.md,,not_started,research\briefs\002-wrist-joint-injection-radiocarpal-joint.md,research\outlines\002-wrist-joint-injection-radiocarpal-joint.md,
3,Vascular injury management,vascular-injury-management,"General Surgery, Trauma, Vascular Surgery",vascular injury management trauma,extremity vascular injury algorithm; vascular trauma management steps; peripheral vascular injury surgical approach; arterial injury management orthopedic trauma; limb vascular injury procedure,https://web.osgenic.com/pages/695,research/competitor_sheets/003-vascular-injury-management.md,,not_started,research\briefs\003-vascular-injury-management.md,research\outlines\003-vascular-injury-management.md,
4,Urethral catheter placement,urethral-catheter-placement,Urology,urethral catheter placement procedure,foley catheter insertion technique; male urethral catheterization steps; difficult catheter placement technique; sterile urinary catheter insertion; catheter placement clinical procedure,https://web.osgenic.com/pages/698,research/competitor_sheets/004-urethral-catheter-placement.md,,not_started,research\briefs\004-urethral-catheter-placement.md,research\outlines\004-urethral-catheter-placement.md,
5,Trigger Finger Release,trigger-finger-release,Hand Surgery,trigger finger release technique,open trigger finger release steps; a1 pulley release procedure; trigger finger surgery approach; stenosing tenosynovitis release technique; trigger finger operative steps,https://web.osgenic.com/pages/418,research/competitor_sheets/005-trigger-finger-release.md,,not_started,research\briefs\005-trigger-finger-release.md,research\outlines\005-trigger-finger-release.md,
6,Traumatic finger amputation revision,traumatic-finger-amputation-revision,"Hand Surgery, Trauma",finger amputation revision technique,traumatic finger amputation management; revision amputation finger procedure; fingertip amputation revision steps; digital amputation surgical technique; traumatic finger revision surgery,https://web.osgenic.com/pages/570,research/competitor_sheets/006-traumatic-finger-amputation-revision.md,,not_started,research\briefs\006-traumatic-finger-amputation-revision.md,research\outlines\006-traumatic-finger-amputation-revision.md,
7,Total knee arthroplasty (mechanical alignment),total-knee-arthroplasty-mechanical-alignment,Joint Replacement,mechanical alignment total knee arthroplasty,TKA mechanical alignment technique; total knee replacement surgical steps; knee arthroplasty procedure orthopedic; primary TKA mechanical alignment approach; total knee arthroplasty operative technique,https://web.osgenic.com/pages/643,research/competitor_sheets/007-total-knee-arthroplasty-mechanical-alignment.md,,not_started,research\briefs\007-total-knee-arthroplasty-mechanical-alignment.md,research\outlines\007-total-knee-arthroplasty-mechanical-alignment.md,
8,Total hip arthroplasty (uncemented) - posterior approach,total-hip-arthroplasty-uncemented-posterior-approach,Joint Replacement,uncemented total hip arthroplasty posterior approach,THA posterior approach technique; total hip replacement posterior approach steps; cementless THA operative technique; posterior hip arthroplasty procedure; total hip arthroplasty surgical approach,https://web.osgenic.com/pages/647,research/competitor_sheets/008-total-hip-arthroplasty-uncemented-posterior-approach.md,,not_started,research\briefs\008-total-hip-arthroplasty-uncemented-posterior-approach.md,research\outlines\008-total-hip-arthroplasty-uncemented-posterior-approach.md,
9,Toe amputation,toe-amputation,Vascular Surgery,toe amputation technique,toe amputation procedure; digital toe amputation steps; forefoot toe amputation surgical technique; hallux amputation approach; toe amputation operative steps,https://web.osgenic.com/pages/655,research/competitor_sheets/009-toe-amputation.md,,not_started,research\briefs\009-toe-amputation.md,research\outlines\009-toe-amputation.md,
10,Tibial plateau fracture - lateral locking plate,tibial-plateau-fracture-lateral-locking-plate,Trauma,tibial plateau fracture lateral locking plate,lateral tibial plateau ORIF technique; tibial plateau fracture fixation steps; proximal tibia locking plate procedure; lateral plateau fracture plating technique; tibial plateau surgical approach,https://web.osgenic.com/pages/640,research/competitor_sheets/010-tibial-plateau-fracture-lateral-locking-plate.md,,not_started,research\briefs\010-tibial-plateau-fracture-lateral-locking-plate.md,research\outlines\010-tibial-plateau-fracture-lateral-locking-plate.md,
11,Suprapubic catheter placement,suprapubic-catheter-placement,"Urology, Family Medicine",suprapubic catheter placement technique,suprapubic catheter insertion procedure; suprapubic cystostomy steps; SPC placement step by step; suprapubic catheter surgical technique; bladder catheter placement procedure,https://web.osgenic.com/pages/700,research/competitor_sheets/011-suprapubic-catheter-placement.md,,not_started,research\briefs\011-suprapubic-catheter-placement.md,research\outlines\011-suprapubic-catheter-placement.md,
12,Supracondylar humerus fracture fixation,supracondylar-humerus-fracture-fixation,"Trauma, Pediatric Orthopedics",supracondylar humerus fracture fixation,supracondylar fracture ORIF technique; distal humerus fracture fixation steps; pediatric supracondylar pinning technique; supracondylar humerus operative procedure; elbow fracture fixation approach,https://web.osgenic.com/pages/812,research/competitor_sheets/012-supracondylar-humerus-fracture-fixation.md,,not_started,research\briefs\012-supracondylar-humerus-fracture-fixation.md,research\outlines\012-supracondylar-humerus-fracture-fixation.md,
13,Sliding Hip Screw (DHS),sliding-hip-screw-dhs,Trauma,dynamic hip screw technique,sliding hip screw procedure; DHS fixation intertrochanteric fracture; dynamic hip screw operative steps; hip fracture DHS technique; intertrochanteric fixation with sliding hip screw,https://web.osgenic.com/pages/406,research/competitor_sheets/013-sliding-hip-screw-dhs.md,,not_started,research\briefs\013-sliding-hip-screw-dhs.md,research\outlines\013-sliding-hip-screw-dhs.md,
14,Skin transposition flap,skin-transposition-flap,Plastic Surgery,skin transposition flap technique,local transposition flap steps; cutaneous flap design procedure; transposition flap reconstruction technique; skin flap closure surgical steps; local flap surgery technique,https://web.osgenic.com/pages/621,research/competitor_sheets/014-skin-transposition-flap.md,,not_started,research\briefs\014-skin-transposition-flap.md,research\outlines\014-skin-transposition-flap.md,
15,Skin lesion excision and undermining,skin-lesion-excision-and-undermining,"Plastic Surgery, Family Medicine",skin lesion excision technique,surgical undermining wound closure; ellipse excision procedure steps; skin lesion removal surgical technique; undermining technique in skin surgery; lesion excision closure approach,https://web.osgenic.com/pages/581,research/competitor_sheets/015-skin-lesion-excision-and-undermining.md,,not_started,research\briefs\015-skin-lesion-excision-and-undermining.md,research\outlines\015-skin-lesion-excision-and-undermining.md,
16,Shoulder trauma: X-ray interpretation,shoulder-trauma-x-ray-interpretation,"Shoulder & Elbow, Trauma, Radiology",shoulder trauma x ray interpretation,shoulder x ray reading orthopedic; how to interpret shoulder trauma radiographs; shoulder fracture x ray interpretation; glenohumeral x ray trauma assessment; shoulder radiograph interpretation steps,https://web.osgenic.com/pages/742,research/competitor_sheets/016-shoulder-trauma-x-ray-interpretation.md,,not_started,research\briefs\016-shoulder-trauma-x-ray-interpretation.md,research\outlines\016-shoulder-trauma-x-ray-interpretation.md,
17,Shoulder joint injection,shoulder-joint-injection,"Rheumatology, Shoulder & Elbow",shoulder joint injection technique,glenohumeral joint injection procedure; shoulder corticosteroid injection landmarks; shoulder injection step by step; intra articular shoulder injection approach; orthopedic shoulder injection technique,https://web.osgenic.com/pages/648,research/competitor_sheets/017-shoulder-joint-injection.md,,not_started,research\briefs\017-shoulder-joint-injection.md,research\outlines\017-shoulder-joint-injection.md,
18,Scrotal exploration and orchiopexy,scrotal-exploration-and-orchiopexy,Urology,scrotal exploration orchiopexy technique,testicular torsion orchiopexy procedure; scrotal exploration operative steps; bilateral orchiopexy surgical technique; acute scrotum surgical management; orchiopexy step by step,https://web.osgenic.com/pages/761,research/competitor_sheets/018-scrotal-exploration-and-orchiopexy.md,,not_started,research\briefs\018-scrotal-exploration-and-orchiopexy.md,research\outlines\018-scrotal-exploration-and-orchiopexy.md,
19,Quadriceps tendon repair,quadriceps-tendon-repair,Trauma,quadriceps tendon repair technique,quadriceps tendon rupture repair steps; extensor mechanism repair knee; quadriceps tendon surgical procedure; transosseous quadriceps tendon repair; quadriceps tendon operative technique,https://web.osgenic.com/pages/623,research/competitor_sheets/019-quadriceps-tendon-repair.md,,not_started,research\briefs\019-quadriceps-tendon-repair.md,research\outlines\019-quadriceps-tendon-repair.md,
20,Posterior humerus approach,posterior-humerus-approach,"Trauma, Shoulder & Elbow",posterior humerus approach technique,posterior approach to humerus; humeral shaft posterior surgical approach; posterior arm approach anatomy; triceps splitting humerus approach; posterior humerus exposure steps,https://web.osgenic.com/pages/650,research/competitor_sheets/020-posterior-humerus-approach.md,,not_started,research\briefs\020-posterior-humerus-approach.md,research\outlines\020-posterior-humerus-approach.md,
21,Patellar fracture fixation with tension band,patellar-fracture-fixation-with-tension-band,Trauma,patellar fracture tension band technique,patella ORIF tension band wiring; patellar fracture fixation steps; tension band fixation patella procedure; patella fracture operative technique; extensor mechanism fracture fixation,https://web.osgenic.com/pages/639,research/competitor_sheets/021-patellar-fracture-fixation-with-tension-band.md,,not_started,research\briefs\021-patellar-fracture-fixation-with-tension-band.md,research\outlines\021-patellar-fracture-fixation-with-tension-band.md,
22,Olecranon fracture - tension band,olecranon-fracture-tension-band,Trauma,olecranon tension band wiring technique,olecranon fracture fixation steps; olecranon ORIF tension band; proximal ulna fracture operative technique; tension band fixation olecranon procedure; olecranon fracture surgery approach,https://web.osgenic.com/pages/567,research/competitor_sheets/022-olecranon-fracture-tension-band.md,,not_started,research\briefs\022-olecranon-fracture-tension-band.md,research\outlines\022-olecranon-fracture-tension-band.md,
23,Lumbar microdiscectomy,lumbar-microdiscectomy,Spine,lumbar microdiscectomy technique,lumbar disc herniation surgery steps; microdiscectomy operative procedure; minimally invasive lumbar discectomy technique; lumbar nerve root decompression steps; spine microdiscectomy surgical approach,https://web.osgenic.com/pages/756,research/competitor_sheets/023-lumbar-microdiscectomy.md,,not_started,research\briefs\023-lumbar-microdiscectomy.md,research\outlines\023-lumbar-microdiscectomy.md,
24,Lateral neck approach for penetrating trauma,lateral-neck-approach-for-penetrating-trauma,"Vascular Surgery, General Surgery",lateral neck approach penetrating trauma,neck exploration trauma surgical approach; penetrating neck trauma operative steps; lateral neck exposure technique; trauma neck exploration procedure; zone ii neck trauma approach,https://web.osgenic.com/pages/759,research/competitor_sheets/024-lateral-neck-approach-for-penetrating-trauma.md,,not_started,research\briefs\024-lateral-neck-approach-for-penetrating-trauma.md,research\outlines\024-lateral-neck-approach-for-penetrating-trauma.md,
25,Knee Spanning External Fixation,knee-spanning-external-fixation,Trauma,knee spanning external fixation technique,spanning external fixator knee trauma; temporary knee external fixation steps; distal femur tibial plateau spanning fixator; knee bridge external fixation procedure; damage control external fixation knee,https://web.osgenic.com/pages/523,research/competitor_sheets/025-knee-spanning-external-fixation.md,,not_started,research\briefs\025-knee-spanning-external-fixation.md,research\outlines\025-knee-spanning-external-fixation.md,
26,Knee joint injection,knee-joint-injection,"Rheumatology, Foot & Ankle",knee joint injection technique,intra articular knee injection procedure; knee corticosteroid injection landmarks; knee aspiration and injection steps; orthopedic knee injection approach; knee joint injection step by step,https://web.osgenic.com/pages/578,research/competitor_sheets/026-knee-joint-injection.md,,not_started,research\briefs\026-knee-joint-injection.md,research\outlines\026-knee-joint-injection.md,
27,Intraosseus (IO) access: proximal tibia and humerus,intraosseus-io-access-proximal-tibia-and-humerus,Trauma,intraosseous access proximal tibia technique,humeral IO access procedure; IO line insertion step by step; proximal tibia intraosseous placement; emergency intraosseous access landmarks; tibial and humeral IO technique,https://web.osgenic.com/pages/614,research/competitor_sheets/027-intraosseus-io-access-proximal-tibia-and-humerus.md,,not_started,research\briefs\027-intraosseus-io-access-proximal-tibia-and-humerus.md,research\outlines\027-intraosseus-io-access-proximal-tibia-and-humerus.md,
28,Intramedullary nailing of the tibia,intramedullary-nailing-of-the-tibia,Trauma,tibial intramedullary nailing technique,tibia IM nail procedure; tibial shaft fracture nailing steps; infrapatellar tibial nail technique; tibial intramedullary fixation operative steps; tibia fracture IM nailing approach,https://web.osgenic.com/pages/14,research/competitor_sheets/028-intramedullary-nailing-of-the-tibia.md,,not_started,research\briefs\028-intramedullary-nailing-of-the-tibia.md,research\outlines\028-intramedullary-nailing-of-the-tibia.md,
29,Hip hemiarthroplasty - posterior approach,hip-hemiarthroplasty-posterior-approach,Trauma,hip hemiarthroplasty posterior approach,hemiarthroplasty posterior approach technique; femoral neck fracture hemiarthroplasty steps; posterior hip hemiarthroplasty procedure; bipolar hemiarthroplasty operative technique; hip fracture arthroplasty approach,https://web.osgenic.com/pages/656,research/competitor_sheets/029-hip-hemiarthroplasty-posterior-approach.md,,not_started,research\briefs\029-hip-hemiarthroplasty-posterior-approach.md,research\outlines\029-hip-hemiarthroplasty-posterior-approach.md,
30,Hip hemiarthroplasty - Hardinge approach,hip-hemiarthroplasty-hardinge-approach,Trauma,hip hemiarthroplasty Hardinge approach,direct lateral hemiarthroplasty technique; Hardinge approach hip fracture surgery; hemiarthroplasty direct lateral steps; hip hemiarthroplasty operative technique; Hardinge hip approach procedure,https://web.osgenic.com/pages/807,research/competitor_sheets/030-hip-hemiarthroplasty-hardinge-approach.md,,not_started,research\briefs\030-hip-hemiarthroplasty-hardinge-approach.md,research\outlines\030-hip-hemiarthroplasty-hardinge-approach.md,
31,Hip and pelvis trauma: X-ray interpretation,hip-and-pelvis-trauma-x-ray-interpretation,"Trauma, Radiology",pelvis trauma x ray interpretation,hip trauma radiograph interpretation; pelvic fracture x ray reading; AP pelvis trauma interpretation; orthopedic hip and pelvis x ray; pelvis trauma imaging approach,https://web.osgenic.com/pages/746,research/competitor_sheets/031-hip-and-pelvis-trauma-x-ray-interpretation.md,,not_started,research\briefs\031-hip-and-pelvis-trauma-x-ray-interpretation.md,research\outlines\031-hip-and-pelvis-trauma-x-ray-interpretation.md,
32,Gamma Nail for Intertrochanteric Femoral Fracture,gamma-nail-for-intertrochanteric-femoral-fracture,Trauma,gamma nail intertrochanteric fracture technique,cephalomedullary nailing intertrochanteric fracture; gamma nail operative steps; intertrochanteric femur fracture fixation procedure; proximal femur nail technique; hip fracture cephalomedullary nail,https://web.osgenic.com/pages/527,research/competitor_sheets/032-gamma-nail-for-intertrochanteric-femoral-fracture.md,,not_started,research\briefs\032-gamma-nail-for-intertrochanteric-femoral-fracture.md,research\outlines\032-gamma-nail-for-intertrochanteric-femoral-fracture.md,
33,Full thickness skin graft,full-thickness-skin-graft,Plastic Surgery,full thickness skin graft technique,FTSG surgical steps; full thickness graft harvest procedure; skin graft inset technique; reconstructive full thickness skin graft; full thickness graft donor site closure,https://web.osgenic.com/pages/622,research/competitor_sheets/033-full-thickness-skin-graft.md,,not_started,research\briefs\033-full-thickness-skin-graft.md,research\outlines\033-full-thickness-skin-graft.md,
34,"Finger joint (MCP, PIP, DIP) injections",finger-joint-mcp-pip-dip-injections,"Family Medicine, Rheumatology, Hand Surgery",MCP joint injection technique,PIP joint injection procedure; DIP joint injection technique; finger joint corticosteroid injection; small joint injection hand technique; MCP PIP DIP injection step by step,https://web.osgenic.com/pages/651,research/competitor_sheets/034-finger-joint-mcp-pip-dip-injections.md,,not_started,research\briefs\034-finger-joint-mcp-pip-dip-injections.md,research\outlines\034-finger-joint-mcp-pip-dip-injections.md,
35,Femoral artery exposure,femoral-artery-exposure,"Vascular Surgery, General Surgery",femoral artery exposure technique,common femoral artery surgical approach; femoral vessel exposure trauma; groin vascular exposure steps; femoral artery operative anatomy; femoral artery cutdown procedure,https://web.osgenic.com/pages/762,research/competitor_sheets/035-femoral-artery-exposure.md,,not_started,research\briefs\035-femoral-artery-exposure.md,research\outlines\035-femoral-artery-exposure.md,
36,Fasciotomy of the thigh,fasciotomy-of-the-thigh,Trauma,thigh fasciotomy technique,compartment syndrome thigh fasciotomy; thigh compartment release procedure; lateral thigh fasciotomy steps; fasciotomy operative technique lower extremity; thigh decompression surgical approach,https://web.osgenic.com/pages/649,research/competitor_sheets/036-fasciotomy-of-the-thigh.md,,not_started,research\briefs\036-fasciotomy-of-the-thigh.md,research\outlines\036-fasciotomy-of-the-thigh.md,
37,Fasciotomy of the lower leg (two incision technique),fasciotomy-of-the-lower-leg-two-incision-technique,Trauma,lower leg fasciotomy two incision technique,four compartment fasciotomy leg steps; compartment syndrome leg fasciotomy procedure; two incision lower leg fasciotomy; leg fasciotomy surgical technique; lower extremity compartment release steps,https://web.osgenic.com/pages/135,research/competitor_sheets/037-fasciotomy-of-the-lower-leg-two-incision-technique.md,,not_started,research\briefs\037-fasciotomy-of-the-lower-leg-two-incision-technique.md,research\outlines\037-fasciotomy-of-the-lower-leg-two-incision-technique.md,
38,Fasciotomy of the forearm,fasciotomy-of-the-forearm,Hand Surgery,forearm fasciotomy technique,upper extremity compartment syndrome fasciotomy; volar forearm fasciotomy steps; forearm compartment release procedure; forearm decompression surgical technique; hand and forearm fasciotomy approach,https://web.osgenic.com/pages/626,research/competitor_sheets/038-fasciotomy-of-the-forearm.md,,not_started,research\briefs\038-fasciotomy-of-the-forearm.md,research\outlines\038-fasciotomy-of-the-forearm.md,
39,External iliac artery exposure,external-iliac-artery-exposure,"Vascular Surgery, General Surgery",external iliac artery exposure technique,pelvic vascular exposure surgical approach; retroperitoneal external iliac artery exposure; external iliac vessel anatomy approach; iliac artery trauma exposure steps; vascular exposure pelvis procedure,https://web.osgenic.com/pages/763,research/competitor_sheets/039-external-iliac-artery-exposure.md,,not_started,research\briefs\039-external-iliac-artery-exposure.md,research\outlines\039-external-iliac-artery-exposure.md,
40,External fixation of the pelvis (transiliac),external-fixation-of-the-pelvis-transiliac,Trauma,pelvic external fixation transiliac technique,pelvis external fixator procedure; anterior pelvic external fixation steps; pelvic ring stabilization external fixation; transiliac pelvic pin placement technique; damage control pelvis external fixation,https://web.osgenic.com/pages/645,research/competitor_sheets/040-external-fixation-of-the-pelvis-transiliac.md,,not_started,research\briefs\040-external-fixation-of-the-pelvis-transiliac.md,research\outlines\040-external-fixation-of-the-pelvis-transiliac.md,
41,Extensor tendon repair in the hand area,extensor-tendon-repair-in-the-hand-area,Hand Surgery,extensor tendon repair hand technique,hand extensor tendon laceration repair; zone extensor tendon repair steps; extensor tendon operative technique hand; tendon repair suture technique hand; hand tendon repair procedure,https://web.osgenic.com/pages/484,research/competitor_sheets/041-extensor-tendon-repair-in-the-hand-area.md,,not_started,research\briefs\041-extensor-tendon-repair-in-the-hand-area.md,research\outlines\041-extensor-tendon-repair-in-the-hand-area.md,
42,Elbow spanning external fixation,elbow-spanning-external-fixation,Trauma,elbow spanning external fixation technique,elbow bridge external fixator trauma; spanning fixator elbow procedure; unstable elbow external fixation steps; hinged elbow external fixation approach; damage control elbow fixation,https://web.osgenic.com/pages/618,research/competitor_sheets/042-elbow-spanning-external-fixation.md,,not_started,research\briefs\042-elbow-spanning-external-fixation.md,research\outlines\042-elbow-spanning-external-fixation.md,
