deliverable_index,hub_index,hub_name,hub_slug,deliverable_type,title,slug,target_keyword,supporting_topic,cluster_keywords,serp_intent,primary_content_type,brief_file,competitor_research_file,outline_file,source_urls,draft_status,web_review_status,seo_title,meta_description,article_markdown,faq,notes
1,1,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,hub_page,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,anterior hip replacement,,"anterior hip replacement (4400), anterior hip replacement surgery (2900), hemiarthroplasty hip (1900), anterior approach hip replacement (1300), bipolar hemiarthroplasty (480)",Commercial + informational,Service/procedure hub,research\hub_briefs\001-hip-arthroplasty-and-approaches.md,research\hub_competitor_sheets\001-hip-arthroplasty-and-approaches.md,research\hub_outlines\001-hip-arthroplasty-and-approaches.md,"https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach
https://www.nhs.uk/tests-and-treatments/hip-replacement/how-a-hip-replacement-is-done/",not_started,not_started,,,,,
2,1,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,supporting_article,Hip arthroplasty and approaches: Approach comparison,hip-arthroplasty-and-approaches-approach-comparison,approach comparison,Approach comparison,"anterior hip replacement (4400), anterior hip replacement surgery (2900), hemiarthroplasty hip (1900), anterior approach hip replacement (1300), bipolar hemiarthroplasty (480)",Commercial + informational,supporting article,research\hub_briefs\001-hip-arthroplasty-and-approaches.md,research\hub_competitor_sheets\001-hip-arthroplasty-and-approaches.md,research\hub_outlines\001-hip-arthroplasty-and-approaches.md,"https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach
https://www.nhs.uk/tests-and-treatments/hip-replacement/how-a-hip-replacement-is-done/",not_started,not_started,,,,,
3,1,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,supporting_article,Hip arthroplasty and approaches: candidacy,hip-arthroplasty-and-approaches-candidacy,candidacy,candidacy,"anterior hip replacement (4400), anterior hip replacement surgery (2900), hemiarthroplasty hip (1900), anterior approach hip replacement (1300), bipolar hemiarthroplasty (480)",Commercial + informational,supporting article,research\hub_briefs\001-hip-arthroplasty-and-approaches.md,research\hub_competitor_sheets\001-hip-arthroplasty-and-approaches.md,research\hub_outlines\001-hip-arthroplasty-and-approaches.md,"https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach
https://www.nhs.uk/tests-and-treatments/hip-replacement/how-a-hip-replacement-is-done/",not_started,not_started,,,,,
4,1,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,supporting_article,Hip arthroplasty and approaches: recovery timeline,hip-arthroplasty-and-approaches-recovery-timeline,recovery timeline,recovery timeline,"anterior hip replacement (4400), anterior hip replacement surgery (2900), hemiarthroplasty hip (1900), anterior approach hip replacement (1300), bipolar hemiarthroplasty (480)",Commercial + informational,supporting article,research\hub_briefs\001-hip-arthroplasty-and-approaches.md,research\hub_competitor_sheets\001-hip-arthroplasty-and-approaches.md,research\hub_outlines\001-hip-arthroplasty-and-approaches.md,"https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach
https://www.nhs.uk/tests-and-treatments/hip-replacement/how-a-hip-replacement-is-done/",not_started,not_started,,,,,
5,1,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,supporting_article,Hip arthroplasty and approaches: risks,hip-arthroplasty-and-approaches-risks,risks,risks,"anterior hip replacement (4400), anterior hip replacement surgery (2900), hemiarthroplasty hip (1900), anterior approach hip replacement (1300), bipolar hemiarthroplasty (480)",Commercial + informational,supporting article,research\hub_briefs\001-hip-arthroplasty-and-approaches.md,research\hub_competitor_sheets\001-hip-arthroplasty-and-approaches.md,research\hub_outlines\001-hip-arthroplasty-and-approaches.md,"https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach
https://www.nhs.uk/tests-and-treatments/hip-replacement/how-a-hip-replacement-is-done/",not_started,not_started,,,,,
6,2,Robotic joint replacement,robotic-joint-replacement,hub_page,Robotic joint replacement,robotic-joint-replacement,robotic knee replacement,,"robotic knee replacement (3600), robotic knee replacement surgery (2400), robotic knee surgery (1900), robotic assisted knee replacement surgery (1000), robotic total knee replacement (390)",Commercial + informational,Service/procedure hub,research\hub_briefs\002-robotic-joint-replacement.md,research\hub_competitor_sheets\002-robotic-joint-replacement.md,research\hub_outlines\002-robotic-joint-replacement.md,"https://patients.stryker.co.uk/knee-replacement/procedures/mako-robotic-arm-assisted-total-knee
https://www.spirehealthcare.com/spire-bushey-hospital/treatments/robotic-knee-replacement/
https://www.circlehealthgroup.co.uk/treatments/velys-robotic-assisted-knee-surgery",not_started,not_started,,,,,
7,2,Robotic joint replacement,robotic-joint-replacement,supporting_article,Robotic joint replacement: Robotic vs traditional,robotic-joint-replacement-robotic-vs-traditional,robotic vs traditional,Robotic vs traditional,"robotic knee replacement (3600), robotic knee replacement surgery (2400), robotic knee surgery (1900), robotic assisted knee replacement surgery (1000), robotic total knee replacement (390)",Commercial + informational,supporting article,research\hub_briefs\002-robotic-joint-replacement.md,research\hub_competitor_sheets\002-robotic-joint-replacement.md,research\hub_outlines\002-robotic-joint-replacement.md,"https://patients.stryker.co.uk/knee-replacement/procedures/mako-robotic-arm-assisted-total-knee
https://www.spirehealthcare.com/spire-bushey-hospital/treatments/robotic-knee-replacement/
https://www.circlehealthgroup.co.uk/treatments/velys-robotic-assisted-knee-surgery",not_started,not_started,,,,,
8,2,Robotic joint replacement,robotic-joint-replacement,supporting_article,Robotic joint replacement: benefits,robotic-joint-replacement-benefits,benefits,benefits,"robotic knee replacement (3600), robotic knee replacement surgery (2400), robotic knee surgery (1900), robotic assisted knee replacement surgery (1000), robotic total knee replacement (390)",Commercial + informational,supporting article,research\hub_briefs\002-robotic-joint-replacement.md,research\hub_competitor_sheets\002-robotic-joint-replacement.md,research\hub_outlines\002-robotic-joint-replacement.md,"https://patients.stryker.co.uk/knee-replacement/procedures/mako-robotic-arm-assisted-total-knee
https://www.spirehealthcare.com/spire-bushey-hospital/treatments/robotic-knee-replacement/
https://www.circlehealthgroup.co.uk/treatments/velys-robotic-assisted-knee-surgery",not_started,not_started,,,,,
9,2,Robotic joint replacement,robotic-joint-replacement,supporting_article,Robotic joint replacement: systems,robotic-joint-replacement-systems,systems,systems,"robotic knee replacement (3600), robotic knee replacement surgery (2400), robotic knee surgery (1900), robotic assisted knee replacement surgery (1000), robotic total knee replacement (390)",Commercial + informational,supporting article,research\hub_briefs\002-robotic-joint-replacement.md,research\hub_competitor_sheets\002-robotic-joint-replacement.md,research\hub_outlines\002-robotic-joint-replacement.md,"https://patients.stryker.co.uk/knee-replacement/procedures/mako-robotic-arm-assisted-total-knee
https://www.spirehealthcare.com/spire-bushey-hospital/treatments/robotic-knee-replacement/
https://www.circlehealthgroup.co.uk/treatments/velys-robotic-assisted-knee-surgery",not_started,not_started,,,,,
10,2,Robotic joint replacement,robotic-joint-replacement,supporting_article,Robotic joint replacement: recovery,robotic-joint-replacement-recovery,recovery,recovery,"robotic knee replacement (3600), robotic knee replacement surgery (2400), robotic knee surgery (1900), robotic assisted knee replacement surgery (1000), robotic total knee replacement (390)",Commercial + informational,supporting article,research\hub_briefs\002-robotic-joint-replacement.md,research\hub_competitor_sheets\002-robotic-joint-replacement.md,research\hub_outlines\002-robotic-joint-replacement.md,"https://patients.stryker.co.uk/knee-replacement/procedures/mako-robotic-arm-assisted-total-knee
https://www.spirehealthcare.com/spire-bushey-hospital/treatments/robotic-knee-replacement/
https://www.circlehealthgroup.co.uk/treatments/velys-robotic-assisted-knee-surgery",not_started,not_started,,,,,
